drug,cell_line,gCSI IC50
bortezomib,GRANTA-519,0.06
crizotinib,GRANTA-519,0.64
dasatinib,GRANTA-519,0.1
docetaxel,GRANTA-519,0
doxorubicin,GRANTA-519,0.02
erlotinib,GRANTA-519,10
gdc0941,GRANTA-519,10
gemcitabine,GRANTA-519,0
irinotecan,GRANTA-519,0.09
lapatinib,GRANTA-519,20
ms275,GRANTA-519,0.1
paclitaxel,GRANTA-519,0.01
pd0325901,GRANTA-519,20
rapamycin,GRANTA-519,0.1
thapsigargin,GRANTA-519,0.18
vinblastine,GRANTA-519,NaN
vorinostat,GRANTA-519,1.36
bid1870,NCI-H1155,10
bortezomib,NCI-H1155,0.1
crizotinib,NCI-H1155,1
dasatinib,NCI-H1155,NaN
docetaxel,NCI-H1155,0.02
doxorubicin,NCI-H1155,0.16
erlotinib,NCI-H1155,10
gdc0941,NCI-H1155,10
gemcitabine,NCI-H1155,0.02
irinotecan,NCI-H1155,0.56
lapatinib,NCI-H1155,20
ms275,NCI-H1155,0.1
paclitaxel,NCI-H1155,0.06
pd0325901,NCI-H1155,20
rapamycin,NCI-H1155,0.1
thapsigargin,NCI-H1155,0.29
vinblastine,NCI-H1155,NaN
vorinostat,NCI-H1155,3.56
bid1870,NCI-H1299,10
bortezomib,NCI-H1299,0.04
crizotinib,NCI-H1299,1
dasatinib,NCI-H1299,0.09
docetaxel,NCI-H1299,0.01
doxorubicin,NCI-H1299,0.18
erlotinib,NCI-H1299,10
gdc0941,NCI-H1299,10
gemcitabine,NCI-H1299,0
irinotecan,NCI-H1299,2.88
lapatinib,NCI-H1299,20
ms275,NCI-H1299,0.1
paclitaxel,NCI-H1299,0.03
pd0325901,NCI-H1299,0.22
rapamycin,NCI-H1299,0.1
thapsigargin,NCI-H1299,0.06
vinblastine,NCI-H1299,0.04
vorinostat,NCI-H1299,3.61
bid1870,NCI-H1339,10
bortezomib,NCI-H1339,0.04
crizotinib,NCI-H1339,1
dasatinib,NCI-H1339,NaN
docetaxel,NCI-H1339,0.01
doxorubicin,NCI-H1339,0.35
erlotinib,NCI-H1339,10
gdc0941,NCI-H1339,10
gemcitabine,NCI-H1339,0
irinotecan,NCI-H1339,1.15
lapatinib,NCI-H1339,20
ms275,NCI-H1339,0.1
paclitaxel,NCI-H1339,0.02
pd0325901,NCI-H1339,20
rapamycin,NCI-H1339,0.1
thapsigargin,NCI-H1339,0.02
vinblastine,NCI-H1339,NaN
vorinostat,NCI-H1339,1.27
bid1870,NCI-H1355,10
bortezomib,NCI-H1355,0.03
crizotinib,NCI-H1355,1
dasatinib,NCI-H1355,0.1
docetaxel,NCI-H1355,0.01
doxorubicin,NCI-H1355,0.59
erlotinib,NCI-H1355,10
gdc0941,NCI-H1355,10
gemcitabine,NCI-H1355,0.02
irinotecan,NCI-H1355,20
lapatinib,NCI-H1355,20
ms275,NCI-H1355,0.1
paclitaxel,NCI-H1355,0.02
pd0325901,NCI-H1355,3.49
rapamycin,NCI-H1355,0.1
thapsigargin,NCI-H1355,0.11
vinblastine,NCI-H1355,0.03
vorinostat,NCI-H1355,2.41
bid1870,NCI-H1437,10
bortezomib,NCI-H1437,0.04
crizotinib,NCI-H1437,1
dasatinib,NCI-H1437,0.1
docetaxel,NCI-H1437,0
doxorubicin,NCI-H1437,0.41
erlotinib,NCI-H1437,10
gdc0941,NCI-H1437,10
gemcitabine,NCI-H1437,0.08
irinotecan,NCI-H1437,3.79
lapatinib,NCI-H1437,14.3
ms275,NCI-H1437,0.1
paclitaxel,NCI-H1437,0.02
pd0325901,NCI-H1437,0.01
rapamycin,NCI-H1437,0.1
thapsigargin,NCI-H1437,0.04
vinblastine,NCI-H1437,0.01
vorinostat,NCI-H1437,1.17
bid1870,NCI-H1581,10
bortezomib,NCI-H1581,0.08
crizotinib,NCI-H1581,1
dasatinib,NCI-H1581,NaN
docetaxel,NCI-H1581,0.01
doxorubicin,NCI-H1581,0.79
erlotinib,NCI-H1581,10
gdc0941,NCI-H1581,10
gemcitabine,NCI-H1581,0.33
irinotecan,NCI-H1581,5.7
lapatinib,NCI-H1581,20
ms275,NCI-H1581,0.1
paclitaxel,NCI-H1581,0.02
pd0325901,NCI-H1581,20
rapamycin,NCI-H1581,0.1
thapsigargin,NCI-H1581,0.05
vinblastine,NCI-H1581,NaN
vorinostat,NCI-H1581,1.16
bid1870,NCI-H1648,NaN
bortezomib,NCI-H1648,NaN
crizotinib,NCI-H1648,1
dasatinib,NCI-H1648,NaN
docetaxel,NCI-H1648,NaN
doxorubicin,NCI-H1648,NaN
erlotinib,NCI-H1648,10
gdc0941,NCI-H1648,NaN
gemcitabine,NCI-H1648,NaN
irinotecan,NCI-H1648,NaN
lapatinib,NCI-H1648,20
ms275,NCI-H1648,NaN
paclitaxel,NCI-H1648,0.27
pd0325901,NCI-H1648,0.32
rapamycin,NCI-H1648,NaN
thapsigargin,NCI-H1648,NaN
vinblastine,NCI-H1648,NaN
vorinostat,NCI-H1648,NaN
bid1870,NCI-H1650,NaN
bortezomib,NCI-H1650,NaN
crizotinib,NCI-H1650,NaN
dasatinib,NCI-H1650,NaN
docetaxel,NCI-H1650,NaN
doxorubicin,NCI-H1650,NaN
erlotinib,NCI-H1650,NaN
gdc0941,NCI-H1650,NaN
gemcitabine,NCI-H1650,NaN
irinotecan,NCI-H1650,NaN
lapatinib,NCI-H1650,NaN
ms275,NCI-H1650,NaN
paclitaxel,NCI-H1650,NaN
pd0325901,NCI-H1650,NaN
rapamycin,NCI-H1650,NaN
thapsigargin,NCI-H1650,NaN
vinblastine,NCI-H1650,NaN
vorinostat,NCI-H1650,NaN
bid1870,NCI-H1651,10
bortezomib,NCI-H1651,0.03
crizotinib,NCI-H1651,1
dasatinib,NCI-H1651,NaN
docetaxel,NCI-H1651,0.02
doxorubicin,NCI-H1651,0.29
erlotinib,NCI-H1651,10
gdc0941,NCI-H1651,10
gemcitabine,NCI-H1651,0.05
irinotecan,NCI-H1651,2.14
lapatinib,NCI-H1651,20
ms275,NCI-H1651,0.1
paclitaxel,NCI-H1651,0.06
pd0325901,NCI-H1651,20
rapamycin,NCI-H1651,0.1
thapsigargin,NCI-H1651,0.07
vinblastine,NCI-H1651,NaN
vorinostat,NCI-H1651,1.25
bid1870,NCI-H1666,10
bortezomib,NCI-H1666,0.03
crizotinib,NCI-H1666,1
dasatinib,NCI-H1666,NaN
docetaxel,NCI-H1666,0.01
doxorubicin,NCI-H1666,0.16
erlotinib,NCI-H1666,0.16
gdc0941,NCI-H1666,10
gemcitabine,NCI-H1666,0.02
irinotecan,NCI-H1666,3.1
lapatinib,NCI-H1666,0.67
ms275,NCI-H1666,0.1
paclitaxel,NCI-H1666,0.02
pd0325901,NCI-H1666,0.23
rapamycin,NCI-H1666,0.1
thapsigargin,NCI-H1666,0.06
vinblastine,NCI-H1666,NaN
vorinostat,NCI-H1666,1.45
bid1870,NCI-H1703,10
bortezomib,NCI-H1703,0.03
crizotinib,NCI-H1703,1
dasatinib,NCI-H1703,NaN
docetaxel,NCI-H1703,0
doxorubicin,NCI-H1703,0.1
erlotinib,NCI-H1703,10
gdc0941,NCI-H1703,10
gemcitabine,NCI-H1703,0
irinotecan,NCI-H1703,2.73
lapatinib,NCI-H1703,20
ms275,NCI-H1703,0.1
paclitaxel,NCI-H1703,0.01
pd0325901,NCI-H1703,20
rapamycin,NCI-H1703,0.1
thapsigargin,NCI-H1703,0.05
vinblastine,NCI-H1703,NaN
vorinostat,NCI-H1703,4.41
bid1870,NCI-H1793,NaN
bortezomib,NCI-H1793,NaN
crizotinib,NCI-H1793,NaN
dasatinib,NCI-H1793,0.08
docetaxel,NCI-H1793,NaN
doxorubicin,NCI-H1793,NaN
erlotinib,NCI-H1793,NaN
gdc0941,NCI-H1793,NaN
gemcitabine,NCI-H1793,NaN
irinotecan,NCI-H1793,NaN
lapatinib,NCI-H1793,NaN
ms275,NCI-H1793,NaN
paclitaxel,NCI-H1793,NaN
pd0325901,NCI-H1793,NaN
rapamycin,NCI-H1793,NaN
thapsigargin,NCI-H1793,NaN
vinblastine,NCI-H1793,0.01
vorinostat,NCI-H1793,NaN
bid1870,NCI-H1838,10
bortezomib,NCI-H1838,0.35
crizotinib,NCI-H1838,1
dasatinib,NCI-H1838,NaN
docetaxel,NCI-H1838,0.02
doxorubicin,NCI-H1838,0.4
erlotinib,NCI-H1838,10
gdc0941,NCI-H1838,10
gemcitabine,NCI-H1838,1
irinotecan,NCI-H1838,10.85
lapatinib,NCI-H1838,20
ms275,NCI-H1838,0.1
paclitaxel,NCI-H1838,0.2
pd0325901,NCI-H1838,20
rapamycin,NCI-H1838,0.1
thapsigargin,NCI-H1838,0.04
vinblastine,NCI-H1838,NaN
vorinostat,NCI-H1838,1.76
bid1870,NCI-H1869,10
bortezomib,NCI-H1869,0.01
crizotinib,NCI-H1869,1
dasatinib,NCI-H1869,NaN
docetaxel,NCI-H1869,0.3
doxorubicin,NCI-H1869,0.75
erlotinib,NCI-H1869,10
gdc0941,NCI-H1869,10
gemcitabine,NCI-H1869,1
irinotecan,NCI-H1869,12.08
lapatinib,NCI-H1869,12.67
ms275,NCI-H1869,0.1
paclitaxel,NCI-H1869,3
pd0325901,NCI-H1869,20
rapamycin,NCI-H1869,0.1
thapsigargin,NCI-H1869,0.24
vinblastine,NCI-H1869,NaN
vorinostat,NCI-H1869,3.8
bid1870,NCI-H187,10
bortezomib,NCI-H187,0.11
crizotinib,NCI-H187,1
dasatinib,NCI-H187,NaN
docetaxel,NCI-H187,0.02
doxorubicin,NCI-H187,0.19
erlotinib,NCI-H187,10
gdc0941,NCI-H187,10
gemcitabine,NCI-H187,0.06
irinotecan,NCI-H187,0.18
lapatinib,NCI-H187,20
ms275,NCI-H187,0.1
paclitaxel,NCI-H187,0.04
pd0325901,NCI-H187,20
rapamycin,NCI-H187,0.1
thapsigargin,NCI-H187,0.12
vinblastine,NCI-H187,NaN
vorinostat,NCI-H187,1.22
bid1870,NCI-H1944,10
bortezomib,NCI-H1944,0.08
crizotinib,NCI-H1944,1
dasatinib,NCI-H1944,NaN
docetaxel,NCI-H1944,0.01
doxorubicin,NCI-H1944,0.34
erlotinib,NCI-H1944,10
gdc0941,NCI-H1944,10
gemcitabine,NCI-H1944,0.02
irinotecan,NCI-H1944,2.44
lapatinib,NCI-H1944,20
ms275,NCI-H1944,0.1
paclitaxel,NCI-H1944,0.02
pd0325901,NCI-H1944,1.88
rapamycin,NCI-H1944,0.1
thapsigargin,NCI-H1944,0.17
vinblastine,NCI-H1944,NaN
vorinostat,NCI-H1944,1.43
bid1870,NCI-H1975,NaN
bortezomib,NCI-H1975,NaN
crizotinib,NCI-H1975,NaN
dasatinib,NCI-H1975,NaN
docetaxel,NCI-H1975,NaN
doxorubicin,NCI-H1975,NaN
erlotinib,NCI-H1975,NaN
gdc0941,NCI-H1975,NaN
gemcitabine,NCI-H1975,NaN
irinotecan,NCI-H1975,NaN
lapatinib,NCI-H1975,NaN
ms275,NCI-H1975,NaN
paclitaxel,NCI-H1975,NaN
pd0325901,NCI-H1975,NaN
rapamycin,NCI-H1975,NaN
thapsigargin,NCI-H1975,NaN
vinblastine,NCI-H1975,NaN
vorinostat,NCI-H1975,NaN
bid1870,NCI-H1993,10
bortezomib,NCI-H1993,0.19
crizotinib,NCI-H1993,0.07
dasatinib,NCI-H1993,NaN
docetaxel,NCI-H1993,0.01
doxorubicin,NCI-H1993,0.29
erlotinib,NCI-H1993,10
gdc0941,NCI-H1993,10
gemcitabine,NCI-H1993,0.03
irinotecan,NCI-H1993,7.59
lapatinib,NCI-H1993,20
ms275,NCI-H1993,0.1
paclitaxel,NCI-H1993,0.02
pd0325901,NCI-H1993,0.86
rapamycin,NCI-H1993,0.1
thapsigargin,NCI-H1993,0.21
vinblastine,NCI-H1993,NaN
vorinostat,NCI-H1993,3.67
bid1870,NCI-H2009,10
bortezomib,NCI-H2009,0.11
crizotinib,NCI-H2009,1
dasatinib,NCI-H2009,0.1
docetaxel,NCI-H2009,0
doxorubicin,NCI-H2009,0.18
erlotinib,NCI-H2009,10
gdc0941,NCI-H2009,10
gemcitabine,NCI-H2009,0.01
irinotecan,NCI-H2009,1.45
lapatinib,NCI-H2009,20
ms275,NCI-H2009,0.1
paclitaxel,NCI-H2009,0.01
pd0325901,NCI-H2009,0.07
rapamycin,NCI-H2009,0.1
thapsigargin,NCI-H2009,0.06
vinblastine,NCI-H2009,0.01
vorinostat,NCI-H2009,1.16
bid1870,NCI-H2023,10
bortezomib,NCI-H2023,0.05
crizotinib,NCI-H2023,1
dasatinib,NCI-H2023,NaN
docetaxel,NCI-H2023,0
doxorubicin,NCI-H2023,0.17
erlotinib,NCI-H2023,10
gdc0941,NCI-H2023,10
gemcitabine,NCI-H2023,0
irinotecan,NCI-H2023,2.11
lapatinib,NCI-H2023,14.99
ms275,NCI-H2023,0.1
paclitaxel,NCI-H2023,0.02
pd0325901,NCI-H2023,20
rapamycin,NCI-H2023,0.05
thapsigargin,NCI-H2023,0.04
vinblastine,NCI-H2023,NaN
vorinostat,NCI-H2023,2.48
bid1870,NCI-H2052,10
bortezomib,NCI-H2052,0.06
crizotinib,NCI-H2052,1
dasatinib,NCI-H2052,NaN
docetaxel,NCI-H2052,0.07
doxorubicin,NCI-H2052,1.89
erlotinib,NCI-H2052,10
gdc0941,NCI-H2052,10
gemcitabine,NCI-H2052,1
irinotecan,NCI-H2052,4.24
lapatinib,NCI-H2052,20
ms275,NCI-H2052,0.1
paclitaxel,NCI-H2052,0.1
pd0325901,NCI-H2052,20
rapamycin,NCI-H2052,0.1
thapsigargin,NCI-H2052,0.09
vinblastine,NCI-H2052,NaN
vorinostat,NCI-H2052,3.54
bid1870,NCI-H2122,10
bortezomib,NCI-H2122,0.18
crizotinib,NCI-H2122,1
dasatinib,NCI-H2122,0.1
docetaxel,NCI-H2122,0.01
doxorubicin,NCI-H2122,0.63
erlotinib,NCI-H2122,10
gdc0941,NCI-H2122,10
gemcitabine,NCI-H2122,0.17
irinotecan,NCI-H2122,4.85
lapatinib,NCI-H2122,16.11
ms275,NCI-H2122,0.1
paclitaxel,NCI-H2122,0.01
pd0325901,NCI-H2122,0.03
rapamycin,NCI-H2122,0.1
thapsigargin,NCI-H2122,0.06
vinblastine,NCI-H2122,0.01
vorinostat,NCI-H2122,2.22
bid1870,NCI-H2170,10
bortezomib,NCI-H2170,0.05
crizotinib,NCI-H2170,1
dasatinib,NCI-H2170,NaN
docetaxel,NCI-H2170,0.03
doxorubicin,NCI-H2170,0.85
erlotinib,NCI-H2170,5.92
gdc0941,NCI-H2170,10
gemcitabine,NCI-H2170,0.01
irinotecan,NCI-H2170,1.32
lapatinib,NCI-H2170,0.58
ms275,NCI-H2170,0.1
paclitaxel,NCI-H2170,0.07
pd0325901,NCI-H2170,20
rapamycin,NCI-H2170,0.1
thapsigargin,NCI-H2170,0.07
vinblastine,NCI-H2170,NaN
vorinostat,NCI-H2170,1.84
bid1870,NCI-H2171,10
bortezomib,NCI-H2171,0.02
crizotinib,NCI-H2171,1
dasatinib,NCI-H2171,NaN
docetaxel,NCI-H2171,0
doxorubicin,NCI-H2171,0.36
erlotinib,NCI-H2171,10
gdc0941,NCI-H2171,10
gemcitabine,NCI-H2171,0.02
irinotecan,NCI-H2171,2.62
lapatinib,NCI-H2171,8.46
ms275,NCI-H2171,0.1
paclitaxel,NCI-H2171,0.01
pd0325901,NCI-H2171,20
rapamycin,NCI-H2171,0.1
thapsigargin,NCI-H2171,0.04
vinblastine,NCI-H2171,NaN
vorinostat,NCI-H2171,0.6
bid1870,NCI-H2228,10
bortezomib,NCI-H2228,1
crizotinib,NCI-H2228,0.13
dasatinib,NCI-H2228,NaN
docetaxel,NCI-H2228,0
doxorubicin,NCI-H2228,0.28
erlotinib,NCI-H2228,10
gdc0941,NCI-H2228,10
gemcitabine,NCI-H2228,0.05
irinotecan,NCI-H2228,2.35
lapatinib,NCI-H2228,20
ms275,NCI-H2228,0.1
paclitaxel,NCI-H2228,0.01
pd0325901,NCI-H2228,2.54
rapamycin,NCI-H2228,0.1
thapsigargin,NCI-H2228,0.15
vinblastine,NCI-H2228,NaN
vorinostat,NCI-H2228,3.16
bid1870,NCI-H226,10
bortezomib,NCI-H226,0.02
crizotinib,NCI-H226,1
dasatinib,NCI-H226,0.1
docetaxel,NCI-H226,0.3
doxorubicin,NCI-H226,0.36
erlotinib,NCI-H226,10
gdc0941,NCI-H226,10
gemcitabine,NCI-H226,0.07
irinotecan,NCI-H226,7.94
lapatinib,NCI-H226,20
ms275,NCI-H226,0.1
paclitaxel,NCI-H226,1.41
pd0325901,NCI-H226,20
rapamycin,NCI-H226,0.1
thapsigargin,NCI-H226,0.04
vinblastine,NCI-H226,0.07
vorinostat,NCI-H226,7.01
bid1870,NCI-H23,10
bortezomib,NCI-H23,0.05
crizotinib,NCI-H23,1
dasatinib,NCI-H23,NaN
docetaxel,NCI-H23,0
doxorubicin,NCI-H23,0.11
erlotinib,NCI-H23,10
gdc0941,NCI-H23,10
gemcitabine,NCI-H23,0
irinotecan,NCI-H23,1.57
lapatinib,NCI-H23,16.73
ms275,NCI-H23,0.1
paclitaxel,NCI-H23,0.01
pd0325901,NCI-H23,0.16
rapamycin,NCI-H23,0.1
thapsigargin,NCI-H23,0.02
vinblastine,NCI-H23,NaN
vorinostat,NCI-H23,1.81
bid1870,NCI-H2347,10
bortezomib,NCI-H2347,0.01
crizotinib,NCI-H2347,1
dasatinib,NCI-H2347,0.1
docetaxel,NCI-H2347,0.02
doxorubicin,NCI-H2347,0.35
erlotinib,NCI-H2347,10
gdc0941,NCI-H2347,10
gemcitabine,NCI-H2347,0.08
irinotecan,NCI-H2347,5.72
lapatinib,NCI-H2347,9.37
ms275,NCI-H2347,0.1
paclitaxel,NCI-H2347,0.21
pd0325901,NCI-H2347,0.1
rapamycin,NCI-H2347,0.1
thapsigargin,NCI-H2347,0.06
vinblastine,NCI-H2347,0.1
vorinostat,NCI-H2347,1.6
bid1870,NCI-H2405,10
bortezomib,NCI-H2405,0.18
crizotinib,NCI-H2405,1
dasatinib,NCI-H2405,NaN
docetaxel,NCI-H2405,0.3
doxorubicin,NCI-H2405,0.69
erlotinib,NCI-H2405,10
gdc0941,NCI-H2405,10
gemcitabine,NCI-H2405,0.05
irinotecan,NCI-H2405,2.22
lapatinib,NCI-H2405,20
ms275,NCI-H2405,0.1
paclitaxel,NCI-H2405,3
pd0325901,NCI-H2405,0
rapamycin,NCI-H2405,0.1
thapsigargin,NCI-H2405,0.07
vinblastine,NCI-H2405,NaN
vorinostat,NCI-H2405,2.85
bid1870,NCI-H2452,10
bortezomib,NCI-H2452,0.05
crizotinib,NCI-H2452,1
dasatinib,NCI-H2452,0.1
docetaxel,NCI-H2452,0.03
doxorubicin,NCI-H2452,0.52
erlotinib,NCI-H2452,10
gdc0941,NCI-H2452,10
gemcitabine,NCI-H2452,0.1
irinotecan,NCI-H2452,5.4
lapatinib,NCI-H2452,14.28
ms275,NCI-H2452,0.1
paclitaxel,NCI-H2452,0.04
pd0325901,NCI-H2452,20
rapamycin,NCI-H2452,0.08
thapsigargin,NCI-H2452,0.05
vinblastine,NCI-H2452,0.05
vorinostat,NCI-H2452,2.3
bid1870,NCI-H28,10
bortezomib,NCI-H28,0.04
crizotinib,NCI-H28,1
dasatinib,NCI-H28,NaN
docetaxel,NCI-H28,0.01
doxorubicin,NCI-H28,1.09
erlotinib,NCI-H28,10
gdc0941,NCI-H28,10
gemcitabine,NCI-H28,1
irinotecan,NCI-H28,20
lapatinib,NCI-H28,20
ms275,NCI-H28,0.1
paclitaxel,NCI-H28,0.06
pd0325901,NCI-H28,20
rapamycin,NCI-H28,0.1
thapsigargin,NCI-H28,0.25
vinblastine,NCI-H28,NaN
vorinostat,NCI-H28,2.56
bid1870,NCI-H292,10
bortezomib,NCI-H292,0.05
crizotinib,NCI-H292,0.95
dasatinib,NCI-H292,0.05
docetaxel,NCI-H292,0
doxorubicin,NCI-H292,0.1
erlotinib,NCI-H292,0.08
gdc0941,NCI-H292,10
gemcitabine,NCI-H292,0.01
irinotecan,NCI-H292,0.73
lapatinib,NCI-H292,0.99
ms275,NCI-H292,0.1
paclitaxel,NCI-H292,0
pd0325901,NCI-H292,0
rapamycin,NCI-H292,0.1
thapsigargin,NCI-H292,0.06
vinblastine,NCI-H292,0.01
vorinostat,NCI-H292,2.07
bid1870,NCI-H358,10
bortezomib,NCI-H358,0.08
crizotinib,NCI-H358,1
dasatinib,NCI-H358,NaN
docetaxel,NCI-H358,0
doxorubicin,NCI-H358,0.3
erlotinib,NCI-H358,8.05
gdc0941,NCI-H358,10
gemcitabine,NCI-H358,1
irinotecan,NCI-H358,11.85
lapatinib,NCI-H358,4.1
ms275,NCI-H358,0.1
paclitaxel,NCI-H358,0.01
pd0325901,NCI-H358,0.13
rapamycin,NCI-H358,0.1
thapsigargin,NCI-H358,0.06
vinblastine,NCI-H358,NaN
vorinostat,NCI-H358,3.29
bid1870,NCI-H441,10
bortezomib,NCI-H441,0.13
crizotinib,NCI-H441,1
dasatinib,NCI-H441,NaN
docetaxel,NCI-H441,0.02
doxorubicin,NCI-H441,0.42
erlotinib,NCI-H441,10
gdc0941,NCI-H441,10
gemcitabine,NCI-H441,0.04
irinotecan,NCI-H441,3.43
lapatinib,NCI-H441,20
ms275,NCI-H441,0.1
paclitaxel,NCI-H441,0.02
pd0325901,NCI-H441,20
rapamycin,NCI-H441,0.1
thapsigargin,NCI-H441,0.15
vinblastine,NCI-H441,NaN
vorinostat,NCI-H441,4.13
bid1870,NCI-H446,10
bortezomib,NCI-H446,0.01
crizotinib,NCI-H446,1
dasatinib,NCI-H446,NaN
docetaxel,NCI-H446,0.01
doxorubicin,NCI-H446,0.35
erlotinib,NCI-H446,10
gdc0941,NCI-H446,10
gemcitabine,NCI-H446,0.01
irinotecan,NCI-H446,1.65
lapatinib,NCI-H446,6.44
ms275,NCI-H446,0.1
paclitaxel,NCI-H446,0.01
pd0325901,NCI-H446,20
rapamycin,NCI-H446,0.1
thapsigargin,NCI-H446,0.04
vinblastine,NCI-H446,NaN
vorinostat,NCI-H446,0.72
bid1870,NCI-H460,10
bortezomib,NCI-H460,0.14
crizotinib,NCI-H460,1
dasatinib,NCI-H460,0.1
docetaxel,NCI-H460,0.01
doxorubicin,NCI-H460,0.09
erlotinib,NCI-H460,10
gdc0941,NCI-H460,10
gemcitabine,NCI-H460,0.01
irinotecan,NCI-H460,0.99
lapatinib,NCI-H460,20
ms275,NCI-H460,0.1
paclitaxel,NCI-H460,0.02
pd0325901,NCI-H460,0.6
rapamycin,NCI-H460,0.1
thapsigargin,NCI-H460,0.05
vinblastine,NCI-H460,0.04
vorinostat,NCI-H460,1.66
bid1870,NCI-H520,10
bortezomib,NCI-H520,0.14
crizotinib,NCI-H520,1
dasatinib,NCI-H520,NaN
docetaxel,NCI-H520,0.01
doxorubicin,NCI-H520,1.04
erlotinib,NCI-H520,10
gdc0941,NCI-H520,10
gemcitabine,NCI-H520,0.03
irinotecan,NCI-H520,20
lapatinib,NCI-H520,20
ms275,NCI-H520,0.1
paclitaxel,NCI-H520,0.01
pd0325901,NCI-H520,20
rapamycin,NCI-H520,0.1
thapsigargin,NCI-H520,0.06
vinblastine,NCI-H520,NaN
vorinostat,NCI-H520,1.55
bid1870,NCI-H522,10
bortezomib,NCI-H522,0.05
crizotinib,NCI-H522,1
dasatinib,NCI-H522,NaN
docetaxel,NCI-H522,0
doxorubicin,NCI-H522,0.48
erlotinib,NCI-H522,10
gdc0941,NCI-H522,10
gemcitabine,NCI-H522,1
irinotecan,NCI-H522,20
lapatinib,NCI-H522,20
ms275,NCI-H522,0.1
paclitaxel,NCI-H522,0.01
pd0325901,NCI-H522,20
rapamycin,NCI-H522,0.1
thapsigargin,NCI-H522,0.08
vinblastine,NCI-H522,NaN
vorinostat,NCI-H522,3.66
bid1870,NCI-H647,10
bortezomib,NCI-H647,0.24
crizotinib,NCI-H647,1
dasatinib,NCI-H647,0.02
docetaxel,NCI-H647,0.05
doxorubicin,NCI-H647,1.48
erlotinib,NCI-H647,10
gdc0941,NCI-H647,10
gemcitabine,NCI-H647,1
irinotecan,NCI-H647,20
lapatinib,NCI-H647,20
ms275,NCI-H647,0.1
paclitaxel,NCI-H647,0.19
pd0325901,NCI-H647,20
rapamycin,NCI-H647,0.1
thapsigargin,NCI-H647,0.05
vinblastine,NCI-H647,0.1
vorinostat,NCI-H647,5.68
bid1870,NCI-H650,10
bortezomib,NCI-H650,0.17
crizotinib,NCI-H650,1
dasatinib,NCI-H650,0.1
docetaxel,NCI-H650,0.3
doxorubicin,NCI-H650,0.99
erlotinib,NCI-H650,10
gdc0941,NCI-H650,10
gemcitabine,NCI-H650,1
irinotecan,NCI-H650,4.87
lapatinib,NCI-H650,20
ms275,NCI-H650,0.1
paclitaxel,NCI-H650,3
pd0325901,NCI-H650,0.37
rapamycin,NCI-H650,0.1
thapsigargin,NCI-H650,0.19
vinblastine,NCI-H650,0.1
vorinostat,NCI-H650,3.71
bid1870,NCI-H661,10
bortezomib,NCI-H661,0.02
crizotinib,NCI-H661,1
dasatinib,NCI-H661,0.1
docetaxel,NCI-H661,0
doxorubicin,NCI-H661,0.12
erlotinib,NCI-H661,10
gdc0941,NCI-H661,10
gemcitabine,NCI-H661,0.01
irinotecan,NCI-H661,2.03
lapatinib,NCI-H661,3.63
ms275,NCI-H661,0.1
paclitaxel,NCI-H661,0.01
pd0325901,NCI-H661,20
rapamycin,NCI-H661,0.1
thapsigargin,NCI-H661,0.05
vinblastine,NCI-H661,0.01
vorinostat,NCI-H661,1.19
bid1870,NCI-H716,10
bortezomib,NCI-H716,0.08
crizotinib,NCI-H716,1
dasatinib,NCI-H716,NaN
docetaxel,NCI-H716,0.3
doxorubicin,NCI-H716,2.62
erlotinib,NCI-H716,10
gdc0941,NCI-H716,10
gemcitabine,NCI-H716,1
irinotecan,NCI-H716,20
lapatinib,NCI-H716,19.79
ms275,NCI-H716,0.1
paclitaxel,NCI-H716,0.59
pd0325901,NCI-H716,0.16
rapamycin,NCI-H716,0.1
thapsigargin,NCI-H716,0.06
vinblastine,NCI-H716,NaN
vorinostat,NCI-H716,2.8
bid1870,NCI-H727,10
bortezomib,NCI-H727,0.08
crizotinib,NCI-H727,1
dasatinib,NCI-H727,NaN
docetaxel,NCI-H727,0.3
doxorubicin,NCI-H727,1.31
erlotinib,NCI-H727,10
gdc0941,NCI-H727,10
gemcitabine,NCI-H727,1
irinotecan,NCI-H727,20
lapatinib,NCI-H727,20
ms275,NCI-H727,0.1
paclitaxel,NCI-H727,3
pd0325901,NCI-H727,0
rapamycin,NCI-H727,0.1
thapsigargin,NCI-H727,0.82
vinblastine,NCI-H727,NaN
vorinostat,NCI-H727,3.83
bid1870,NCI-H82,10
bortezomib,NCI-H82,0.02
crizotinib,NCI-H82,0.99
dasatinib,NCI-H82,NaN
docetaxel,NCI-H82,0
doxorubicin,NCI-H82,0.16
erlotinib,NCI-H82,3.09
gdc0941,NCI-H82,10
gemcitabine,NCI-H82,0.01
irinotecan,NCI-H82,1.12
lapatinib,NCI-H82,20
ms275,NCI-H82,0.1
paclitaxel,NCI-H82,0
pd0325901,NCI-H82,20
rapamycin,NCI-H82,0.1
thapsigargin,NCI-H82,0.02
vinblastine,NCI-H82,NaN
vorinostat,NCI-H82,0.49
bid1870,NCI-H889,10
bortezomib,NCI-H889,0.05
crizotinib,NCI-H889,1
dasatinib,NCI-H889,NaN
docetaxel,NCI-H889,0.04
doxorubicin,NCI-H889,1.12
erlotinib,NCI-H889,10
gdc0941,NCI-H889,10
gemcitabine,NCI-H889,1
irinotecan,NCI-H889,20
lapatinib,NCI-H889,20
